"Name"	"File Extension"	"File Type"	"Is Deleted"	"Last Accessed"	"File Created"	"Last Modified"	"Size"	"Address"	"Hash Value"	"Known Status"	"Permissions"	"Full Path"
"Unalloc_8_6594560_101773312"	""	"r"	"yes"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"92811264"	"0"	"null"	"unknown"	"r---------"	"/img_USBEvidence2.E01/vol_vol2/$Unalloc/Unalloc_8_6594560_101773312"
"Unalloc_3_0_65536"	""	"r"	"yes"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"65536"	"0"	"null"	"unknown"	"r---------"	"/img_USBEvidence2.E01/vol_vol1/Unalloc_3_0_65536"
"Unalloc_7_101777408_104857600"	""	"r"	"yes"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"3080192"	"0"	"null"	"unknown"	"r---------"	"/img_USBEvidence2.E01/vol_vol3/Unalloc_7_101777408_104857600"
"$AttrDef"	""	"r"	""	"2025-11-29 15:12:23 IST"	"2025-11-29 15:12:23 IST"	"2025-11-29 15:12:23 IST"	"2560"	"4"	"ad617ac3906958de35eacc3d90d31043"	"unknown"	"rr-xr-xr-x"	"/img_USBEvidence2.E01/vol_vol2/$AttrDef"
"$AttrDef-slack"	""	"r"	""	"2025-11-29 15:12:23 IST"	"2025-11-29 15:12:23 IST"	"2025-11-29 15:12:23 IST"	"1536"	"4"	"null"	"unknown"	"rr-xr-xr-x"	"/img_USBEvidence2.E01/vol_vol2/$AttrDef-slack"
"$BadClus"	""	"r"	""	"2025-11-29 15:12:23 IST"	"2025-11-29 15:12:23 IST"	"2025-11-29 15:12:23 IST"	"0"	"8"	"d41d8cd98f00b204e9800998ecf8427e"	"unknown"	"rr-xr-xr-x"	"/img_USBEvidence2.E01/vol_vol2/$BadClus"
"$BadClus:$Bad"	""	"r"	""	"2025-11-29 15:12:23 IST"	"2025-11-29 15:12:23 IST"	"2025-11-29 15:12:23 IST"	"101707776"	"8"	"null"	"unknown"	"rr-xr-xr-x"	"/img_USBEvidence2.E01/vol_vol2/$BadClus:$Bad"
"$BadClus:$Bad-slack"	""	"r"	""	"2025-11-29 15:12:23 IST"	"2025-11-29 15:12:23 IST"	"2025-11-29 15:12:23 IST"	"101707776"	"8"	"null"	"unknown"	"rr-xr-xr-x"	"/img_USBEvidence2.E01/vol_vol2/$BadClus:$Bad-slack"
"$Bitmap"	""	"r"	""	"2025-11-29 15:12:23 IST"	"2025-11-29 15:12:23 IST"	"2025-11-29 15:12:23 IST"	"3104"	"6"	"79dad7000fd9f477f9a8aa50658ee37f"	"unknown"	"rr-xr-xr-x"	"/img_USBEvidence2.E01/vol_vol2/$Bitmap"
"$Bitmap-slack"	""	"r"	""	"2025-11-29 15:12:23 IST"	"2025-11-29 15:12:23 IST"	"2025-11-29 15:12:23 IST"	"992"	"6"	"null"	"unknown"	"rr-xr-xr-x"	"/img_USBEvidence2.E01/vol_vol2/$Bitmap-slack"
"$Boot"	""	"r"	""	"2025-11-29 15:12:23 IST"	"2025-11-29 15:12:23 IST"	"2025-11-29 15:12:23 IST"	"8192"	"7"	"51e7585167619a2ac82abb99ad57bb23"	"unknown"	"rr-xr-xr-x"	"/img_USBEvidence2.E01/vol_vol2/$Boot"
"$ObjId"	""	"r"	""	"2025-11-29 15:12:23 IST"	"2025-11-29 15:12:23 IST"	"2025-11-29 15:12:23 IST"	"0"	"25"	"d41d8cd98f00b204e9800998ecf8427e"	"unknown"	"rr-xr-xr-x"	"/img_USBEvidence2.E01/vol_vol2/$Extend/$ObjId"
"$Quota"	""	"r"	""	"2025-11-29 15:12:23 IST"	"2025-11-29 15:12:23 IST"	"2025-11-29 15:12:23 IST"	"0"	"24"	"d41d8cd98f00b204e9800998ecf8427e"	"unknown"	"rr-xr-xr-x"	"/img_USBEvidence2.E01/vol_vol2/$Extend/$Quota"
"$Reparse"	""	"r"	""	"2025-12-01 21:06:19 IST"	"2025-11-29 15:12:23 IST"	"2025-11-29 15:12:23 IST"	"0"	"26"	"d41d8cd98f00b204e9800998ecf8427e"	"unknown"	"rr-xr-xr-x"	"/img_USBEvidence2.E01/vol_vol2/$Extend/$Reparse"
"$Repair"	""	"r"	""	"2025-11-29 15:12:23 IST"	"2025-11-29 15:12:23 IST"	"2025-11-29 15:12:23 IST"	"0"	"28"	"d41d8cd98f00b204e9800998ecf8427e"	"unknown"	"rr-xr-xr-x"	"/img_USBEvidence2.E01/vol_vol2/$Extend/$RmMetadata/$Repair"
"$Repair:$Config"	""	"r"	""	"2025-11-29 15:12:23 IST"	"2025-11-29 15:12:23 IST"	"2025-11-29 15:12:23 IST"	"8"	"28"	"ab981967d9f545695c396db3787f8a49"	"unknown"	"rr-xr-xr-x"	"/img_USBEvidence2.E01/vol_vol2/$Extend/$RmMetadata/$Repair:$Config"
"$Tops"	""	"r"	""	"2025-11-29 15:12:23 IST"	"2025-11-29 15:12:23 IST"	"2025-11-29 15:12:23 IST"	"100"	"32"	"baa09eb3b72ed0e40b8a9b01f41ac319"	"unknown"	"rr-xr-xr-x"	"/img_USBEvidence2.E01/vol_vol2/$Extend/$RmMetadata/$TxfLog/$Tops"
"$Tops:$T"	""	"r"	""	"2025-11-29 15:12:23 IST"	"2025-11-29 15:12:23 IST"	"2025-11-29 15:12:23 IST"	"1048576"	"32"	"b6d81b360a5672d80c27430f39153e2c"	"unknown"	"rr-xr-xr-x"	"/img_USBEvidence2.E01/vol_vol2/$Extend/$RmMetadata/$TxfLog/$Tops:$T"
"$TxfLog.blf"	".blf"	"r"	""	"2025-11-29 15:12:23 IST"	"2025-11-29 15:12:23 IST"	"2025-11-29 15:12:23 IST"	"65536"	"33"	"a665f84a6086488189acac850a66b34d"	"unknown"	"rrwxrwxrwx"	"/img_USBEvidence2.E01/vol_vol2/$Extend/$RmMetadata/$TxfLog/$TxfLog.blf"
"$TxfLogContainer00000000000000000001"	""	"r"	""	"2025-11-29 15:12:23 IST"	"2025-11-29 15:12:23 IST"	"2025-11-29 15:12:23 IST"	"2097152"	"34"	"3a242a9bddbd096123f6f10a98d7e54e"	"unknown"	"rrwxrwxrwx"	"/img_USBEvidence2.E01/vol_vol2/$Extend/$RmMetadata/$TxfLog/$TxfLogContainer00000000000000000001"
